compliance_report_id,property_id,tester_id,compliant,Survey Date,Comments
1001757,824,,true,2008-01-27,
1001002,69,,true,2005-03-18,
1001084,151,,true,2004-08-02,
1001307,374,,true,2008-03-17,
1001321,388,,true,2006-11-21,
1001480,547,,true,2003-04-13,
1001590,657,,true,2005-07-24,
1001618,685,,true,2005-08-03,
1001768,835,,true,2006-01-10,
1015775,100062,,false,2012-11-06,
1005953,296,,false,2009-02-06,
1015337,685,,false,2010-08-31,
1000978,45,,true,2002-05-06,
1001001,68,,true,2008-02-13,
1001428,495,,true,2007-01-12,
1001562,629,,true,2005-09-09,
1001702,769,,true,2005-04-05,
1001771,838,,true,2006-12-09,
1005954,69,,false,2009-02-06,
1001157,224,,true,2008-03-06,
1001635,702,,true,2008-03-24,
1001772,839,,true,2007-08-11,
1013648,26,,true,2009-06-01,
1001030,97,,true,2005-02-17,
1001280,347,,true,2007-11-16,
1001351,418,,true,2006-03-15,
1015638,309,,true,2011-12-13,
1015633,309,,true,2011-09-14,
1001015,82,,true,2006-04-04,
1001181,248,,true,2008-02-09,
1001695,762,,true,2008-01-27,
1015481,835,,true,2010-12-21,
1015482,845,,true,2010-06-10,
1001794,861,,true,2004-08-22,
1015333,685,,false,2010-08-31,
1015334,685,,false,2010-09-21,
1015496,769,,true,2010-04-05,
1002007,100129,,true,2008-03-28,
1001071,138,,true,2008-01-18,
1001083,150,,true,2008-01-06,
1001182,249,,true,2005-04-14,
1001188,255,,true,2007-11-03,
1001310,377,,true,2005-08-09,
1001594,661,,true,2002-04-10,
1002000,100122,,true,2007-01-26,
1015492,69,,true,2010-03-15,
1000956,23,,true,2002-05-13,
1000959,26,,true,2004-05-03,
1001372,439,,true,2006-04-10,
1001435,502,,true,2006-08-06,
1001970,100092,,true,2003-09-22,
1001154,221,,true,2002-04-18,
1001272,339,,true,2007-04-26,
1001331,398,,true,2008-02-02,
1006641,23,,true,2009-02-16,
1015498,249,,true,2010-04-10,
1001207,274,,true,2003-05-22,
1001444,511,,true,2004-07-28,
1001462,529,,true,2002-09-09,
1001721,788,,false,2008-02-12,
1001894,100016,,true,2004-08-14,
1001965,100087,,false,2008-01-28,
1015338,685,,false,2010-08-31,
1001023,90,,true,2008-03-08,
1001598,665,,true,2005-09-14,
1001690,757,,true,2003-04-17,
1015630,249,,false,2011-11-29,
1015513,513,,true,2010-06-16,
1001229,296,,true,2004-03-27,
1001297,364,,true,2002-11-15,
1001455,522,,false,2008-02-10,
1001657,724,,true,2006-10-12,
1015783,100062,,false,2014-03-05,"Contact Name: John HooskowContact Title: Director of all that is wrongContact Phone: (555) 225-3535"
1015772,100412,,true,2014-03-08,No device for hazard. Install appoved Vented Double Check made of stainless steel or plastic assembly.
1006892,296,,true,2009-03-02,
1001152,219,,true,2007-07-08,
1001731,798,,true,2008-01-03,
1001778,845,,true,2005-06-13,
1015631,249,,false,2011-11-29,
1001179,246,,true,2003-11-16,
1001232,299,,true,2007-03-26,
1001383,450,,false,2008-02-13,
1001446,513,,true,2005-06-16,
1001595,662,,false,2008-03-10,
1001625,692,,true,2008-02-08,
1001923,100045,,true,2008-02-21,
1001228,295,,true,2003-08-24,
1001242,309,,true,2002-12-09,
1001427,494,,true,2008-01-27,
1015780,769,,false,2014-04-03,
1015632,388,,true,2011-09-30,
1001227,294,,true,2008-02-23,
1001276,343,,true,2006-10-07,
1001394,461,,true,2004-11-13,
1001584,651,,true,2004-10-12,
1015776,100412,,false,2014-04-03,
1002005,100127,,true,2003-02-07,
