property_id,account_number,name,address1,city,state_prov,postal_code,primary_contact_id
100062,,Children's Hospital,1552 Naples National CT,Snoqualiamish,WA,98215,67
97,5684-000,Peck Doran P C,1556 N Inverness St,Snoqualamish,WA,98215,7
702,17063-000,Maria Elena's Mexican Restaurant,5026 S Library Rd,Snoqualamish,WA,98215,52
824,18362-000,Quality Surface of Metro Snoqualamish,7359 W Seay CT,Snoqualamish,WA,98215,59
835,19182-000,Real Property Valuations Inc,9089 S Linksway Dr,Snoqualamish,WA,98215,60
100016,,Academy Veterinary Hospital,8350 Lighthouse CT,Snoqualiamish,WA,98215,65
100045,,Bethesda At St Anthony Hospital North,1802 Woodcreek Pl,Snoqualiamish,WA,98215,66
861,20089-000,A-Quest Electronics,5289 W Preston Mill CT,Snoqualamish,WA,98215,64
100122,,Hospital Shared Services Warehouse,5998 Buena Park Dr,Snoqualiamish,WA,98215,70
219,8070-000,Taylors Liquors,445 S Perkins Ln,Snoqualamish,WA,98215,11
255,8561-000,World Computer Corporation,7816 S Yankee St,Snoqualamish,WA,98215,17
511,13070-000,Omelet House Restaurant,709 W Wallace Dr,Snoqualamish,WA,98215,39
513,13079-000,Wej Management Corp,4424 S Red Barn St,Snoqualamish,WA,98215,40
762,21643-000,Splash of Color,464 S Kodiak CT,Snoqualamish,WA,98215,55
798,18166-000,Toys-R-Us,515 W Vinson Dr,Snoqualamish,WA,98215,58
100414,,Willie,12212,,,,
299,9125-000,Midwest Sales CO,4557 S Frank St,Snoqualamish,WA,98215,22
45,22096-000,Rainbow Rebuilders,6694 S Abbotsford Way,Snoqualamish,WA,98215,2
377,10849-000,Mr Smith's Restaurant,4370 S Robin Hood Ln,Snoqualamish,WA,98215,29
68,22782-000,Storewise Software Inc,5038 Somerset Rd,Snoqualamish,WA,98215,3
150,7280-000,Mex Imports,6471 S Chant CT,Snoqualamish,WA,98215,9
502,12907-000,Mile High Lounge,7002 S Village Green Dr,Snoqualamish,WA,98215,38
661,16745-000,So Fine Limousine Service,3947 W Greenlawn Dr,Snoqualamish,WA,98215,47
788,18079-000,Steward Painting & Restoration,3727 W Carter's Corner Rd,Snoqualamish,WA,98215,57
100127,,Hospitality Flowers & Gifts,6725 Sheridan St,Snoqualiamish,WA,98215,71
495,12762-000,Southwest Radiographics,9458 S Rolling Ridge Way,Snoqualamish,WA,98215,37
529,13335-000,Advantage Brokers,5120 S Webb St,Snoqualamish,WA,98215,42
651,16625-000,29th Ave Liquor,4880 N Beech Ridge Dr,Snoqualamish,WA,98215,45
100412,,Bill's Balloon Bonanza,1111 Helium Way,San Rafael,CA,94901,73
246,8403-000,Screenplay Video Centers,7805 S Archer Ln,Snoqualamish,WA,98215,14
347,,Resolution Trust Corp,1905 S Hillyer Ave,Snoqualamish,WA,98215,26
364,10443-000,Rains-Flo Packings,5102 E Clark-Shaw Rd,Snoqualamish,WA,98215,27
494,12725-000,Lingerie Etc,1760 S Cuyuga Dr,Snoqualamish,WA,98215,36
100087,,U S Hospitality Consultant,2714 Woodsfield CT,Snoqualiamish,WA,98215,68
294,9094-000,Mercer William M Incorporated,5707 S Chatham Dr,Snoqualamish,WA,98215,19
343,9981-000,Redding Equipment CO,2230 S Vinmar Way,Snoqualamish,WA,98215,25
439,11884-000,Labriola Machine,1577 S Meadow Ash Dr,Snoqualamish,WA,98215,33
724,17352-000,New Again Auto Re-Con Systems,881 S Fawn Meadow CT,Snoqualamish,WA,98215,53
845,19897-000,Lanyon Sprinkler CO,4709 N Prairie Run Dr,Snoqualamish,WA,98215,63
295,9122-000,Sears J L & Associates Real Estate,7323 S Fairway Rd,Snoqualamish,WA,98215,20
662,16748-000,Sloan Paul & Charlene Sloan,4903 W Federal Cir,Snoqualamish,WA,98215,48
769,17776-000,National Lender Services Inc,5450 N Grace CT,Snoqualamish,WA,98215,56
757,17637-000,Little Ceasars Pizza,122 Taylor DR,Fairfax,CA,94930,54
151,7281-000,Tafoya Electric,1795 S Church View CT,Snoqualamish,WA,98215,10
249,8430-000,Malecall II,9044 S Kelsey CT,Snoqualamish,WA,98215,16
